# GR13-0605 / GR25-0605: 600 g/mm, blaze 500 nm, ruled reflective
# Digitised from Thorlabs product-page chart (average polarisation).,,
# Source: efficiency_600lpm_blaze500_ruled.gif,,
wavelength_nm,efficiency,
230.9,0.03592,
241.8,0.05639,
249.9,0.0774,
256.9,0.09823,
262.6,0.1196,
268.4,0.1411,
273.9,0.1634,
279.6,0.188,
285.2,0.2142,
290.6,0.2381,
294.8,0.2595,
298.9,0.2801,
302.8,0.2999,
307.2,0.3207,
311.7,0.3441,
316.7,0.3663,
321,0.3881,
326,0.4096,
330.6,0.4304,
336.5,0.4527,
342.3,0.4762,
348.3,0.4985,
354.4,0.5192,
359.9,0.5398,
366.4,0.5605,
374.2,0.5811,
384.3,0.6001,
396.4,0.6161,
408.8,0.6359,
419.9,0.6565,
431.5,0.6729,
443.8,0.682,
456.6,0.6844,
469.2,0.6831,
482.1,0.6826,
494.8,0.6826,
507.6,0.6826,
520.4,0.6813,
533,0.6756,
545.8,0.6662,
558.6,0.6551,
571.2,0.644,
583.9,0.6319,
596.6,0.619,
609.5,0.6061,
622.2,0.5926,
634.9,0.5784,
647.7,0.5649,
660.3,0.5509,
673.2,0.5369,
681.6,0.09895,
685.9,0.5227,
694,0.09895,
698.6,0.5093,
706.7,0.09895,
711.4,0.4953,
719.5,0.09895,
724.1,0.4816,
730.7,0.09895,
736.7,0.4685,
749.6,0.4561,
762.3,0.4427,
775.2,0.4306,
787.8,0.4184,
800.5,0.408,
813.2,0.3974,
825.9,0.3875,
838.6,0.3778,
851.4,0.3687,
864.2,0.3604,
877,0.3523,
889.6,0.3444,
902.3,0.3372,
915.1,0.3302,
928,0.3238,
940.8,0.3175,
953.3,0.3114,
966.1,0.3055,
973.7,0.3019,
