# GR25-1205: 1200 g/mm, blaze 500 nm
# Digitised from Thorlabs product-page chart (average polarisation).,
# Source: https://media.thorlabs.com/contentassets/59cb79758e474d289817219359d3fac0/500_1200_ruled_grating_efficiency_graph_780.gif,
wavelength_nm,efficiency
239.5,0.005879
257.6,0.02933
268.7,0.05519
278,0.08105
285.8,0.1061
292.4,0.1294
299.2,0.1566
306,0.1877
311.6,0.2196
316.3,0.2496
320.9,0.2819
325.7,0.319
330.7,0.3581
335.8,0.3982
341,0.4362
347.1,0.4689
363,0.4829
383.1,0.4884
390.2,0.5154
397,0.5433
403.3,0.5703
410.1,0.5974
417.4,0.6231
424,0.6465
432.5,0.6706
442.4,0.6956
456,0.7195
476.9,0.7365
503.9,0.7345
526.5,0.7187
543.2,0.6972
565.9,0.6834
586,0.6702
602.1,0.6493
619.8,0.6273
638.2,0.6054
657.1,0.5834
676,0.5615
695.7,0.5395
714.6,0.5172
732.7,0.495
752.4,0.4731
773.5,0.4511
795.5,0.4292
819.6,0.4086
846.1,0.3913
871.8,0.7678
873.6,0.3771
898.8,0.7678
901.3,0.3657
926.5,0.7678
929,0.3567
954.2,0.7678
956.8,0.35
978.7,0.7678
984.5,0.3448
1012,0.3406
1040,0.3374
1067,0.335
1095,0.3348
1123,0.335
1151,0.337
1179,0.3398
1206,0.3426
1234,0.346
1262,0.3488
1290,0.3513
1317,0.3533
1345,0.3549
1373,0.3537
1401,0.3515
1428,0.346
1456,0.3392
1483,0.328
1509,0.3114
1533,0.2915
1555,0.2697
1570,0.2466
1583,0.2246
1595,0.2023
1606,0.1807
1615,0.1586
1624,0.1366
1632,0.1143
1640,0.09227
1646,0.07022
1652,0.04817
1659,0.02632
1665,0.007082
