# GR25-1208: 1200 g/mm, blaze 750 nm
# Digitised from Thorlabs product-page chart (average polarisation).,
# Source: https://media.thorlabs.com/contentassets/b63b795355654c8ca3430f5411b48fb1/750_1200_ruled_grating_efficiency_graph_780.jpg,
wavelength_nm,efficiency
233.7,0.008698
247.1,0.03737
256.1,0.06537
265.6,0.09473
280.8,0.122
289.5,0.1345
304.4,0.1175
314.9,0.09405
335.3,0.07079
359.4,0.05137
383.3,0.06718
395.4,0.09111
409.1,0.1157
425,0.1412
439.7,0.1668
451,0.1936
458.4,0.218
467.4,0.2456
475.1,0.2729
482.6,0.3002
489,0.3264
496.2,0.3508
503.4,0.3781
510.4,0.4088
517.6,0.4416
523,0.475
528.1,0.5079
533,0.5418
538.6,0.577
543.8,0.6084
559.7,0.6202
570,0.5879
575.2,0.5635
579.3,0.5386
584.4,0.514
600.6,0.4989
613,0.5393
617.8,0.5709
623.2,0.6037
629.2,0.636
634.6,0.6624
643,0.6886
665.7,0.7064
693.2,0.701
721.2,0.6924
749,0.6766
775.5,0.652
797.6,0.6269
819.7,0.6019
846.2,0.5861
873.4,0.5854
901.5,0.5861
929.5,0.587
957.3,0.5829
987.1,0.5689
1015,0.5576
1043,0.5477
1068,0.6856
1071,0.5373
1094,0.6854
1099,0.5271
1123,0.6854
1128,0.5172
1151,0.6854
1156,0.5088
1171,0.6854
1185,0.5016
1213,0.496
1241,0.4917
1269,0.4881
1297,0.4856
1326,0.4845
1354,0.4845
1382,0.4854
1411,0.4867
1440,0.4887
1468,0.4906
1495,0.4912
1524,0.4881
1552,0.4797
1579,0.461
1597,0.4368
1609,0.4133
1618,0.3876
1625,0.3623
1631,0.3366
1636,0.3104
1640,0.2858
1644,0.2611
1647,0.2361
1650,0.2126
1653,0.1871
1655,0.1618
1657,0.137
1659,0.1114
1661,0.08705
1664,0.06108
1666,0.03873
1669,0.01186
1670,-0.001012
