# GR25-1210: 1200 g/mm, blaze 1000 nm
# Digitised from Thorlabs product-page chart (average polarisation).,
# Source: https://media.thorlabs.com/contentassets/909a2d8f124542679ad11c52eb7291e5/1000_1200_ruled_grating_efficiency_graph_780.gif,
wavelength_nm,efficiency
408.2,0.4808
421.9,0.4609
436.2,0.4385
449.7,0.4164
463.2,0.3943
466.5,0.09928
476.7,0.372
490.4,0.09928
492.2,0.35
513.3,0.3455
514.4,0.09928
524.8,0.3734
531.8,0.4003
538.3,0.09928
538.5,0.4244
544.8,0.4495
551.8,0.4736
559,0.4967
560.1,0.09928
567.2,0.5197
577.7,0.5426
591.2,0.5651
609.5,0.5788
631.9,0.5776
655.8,0.5727
680.2,0.5679
703.7,0.5589
727.2,0.5489
751.3,0.5404
775.3,0.5342
799.4,0.5326
824.2,0.5412
847.3,0.5599
867.8,0.5836
887.3,0.6069
906.9,0.6297
926.9,0.6492
949.6,0.6667
973.1,0.6783
997.7,0.6825
1022,0.6807
1045,0.6759
1069,0.6693
1093,0.6616
1117,0.6532
1141,0.644
1165,0.6346
1189,0.6243
1213,0.6135
1237,0.6024
1261,0.5902
1285,0.5767
1308,0.5621
1333,0.5478
1356,0.532
1379,0.5155
1402,0.4983
1424,0.4812
1445,0.465
1465,0.4479
1486,0.4314
1508,0.414
1530,0.3969
1549,0.377
1567,0.3552
1580,0.3323
1591,0.31
1599,0.2879
1607,0.2659
1613,0.2438
1619,0.2217
1626,0.1996
1630,0.1776
1635,0.1555
1641,0.1334
1645,0.1113
1649,0.08924
1654,0.06716
1659,0.04509
1663,0.02301
1666,0.004947
