# GU Optics protected aluminum coating (QX-AL), 0 deg AOI
# Source: QX-AL.jpg (digitized from gu-optics.com.cn)
wavelength_nm,reflectance
402,0.8731
405,0.8691
407,0.8770
414,0.8770
419,0.8809
424,0.8848
429,0.8887
430,0.8966
434,0.8926
440,0.8966
444,0.9044
449,0.9005
454,0.9083
458,0.9044
463,0.9122
469,0.9083
476,0.9162
483,0.9122
494,0.9201
553,0.9201
567,0.9122
581,0.9162
592,0.9083
603,0.9122
615,0.9044
623,0.9083
633,0.9005
642,0.9044
650,0.8966
653,0.9005
657,0.8926
661,0.8966
663,0.8887
666,0.8926
670,0.8848
673,0.8887
676,0.8809
680,0.8848
683,0.8770
691,0.8770
695,0.8691
698,0.8731
703,0.8680
708,0.8613
711,0.8652
715,0.8574
718,0.8613
722,0.8535
725,0.8574
728,0.8495
731,0.8535
735,0.8456
738,0.8495
741,0.8417
745,0.8456
748,0.8378
751,0.8417
760,0.8299
763,0.8339
766,0.8260
770,0.8299
773,0.8221
776,0.8260
778,0.8182
781,0.8221
785,0.8143
788,0.8182
791,0.8103
795,0.8143
800,0.8103
805,0.8025
809,0.8064
815,0.7986
820,0.8025
825,0.7947
829,0.7986
834,0.7907
838,0.7947
844,0.7868
849,0.7907
854,0.7868
858,0.7947
861,0.7907
869,0.7947
873,0.8025
876,0.7986
883,0.8037
888,0.8103
891,0.8064
894,0.8143
899,0.8103
903,0.8182
906,0.8143
914,0.8182
918,0.8260
921,0.8221
929,0.8260
933,0.8339
937,0.8299
940,0.8378
944,0.8339
948,0.8417
971,0.8378
1003,0.8456
1023,0.8417
1045,0.8495
1060,0.8456
1077,0.8535
1091,0.8495
