# Thorlabs protected aluminum coating (-G01), 12 deg AOI, unpolarized
# Source: thorlabs_protected_aluminum_coating.xlsx
wavelength_nm,reflectance
300,0.91038
310,0.90282
320,0.89261
330,0.87866
340,0.86343
350,0.84836
360,0.83690
370,0.83058
380,0.83067
390,0.83622
400,0.84516
410,0.85559
420,0.86612
430,0.87557
440,0.88384
450,0.89125
460,0.89714
470,0.90187
480,0.90598
490,0.90896
500,0.91097
510,0.91284
520,0.91381
530,0.91437
540,0.91461
550,0.91438
560,0.91375
570,0.91255
580,0.91151
590,0.90962
600,0.90773
610,0.90551
620,0.90275
630,0.90014
640,0.89715
650,0.89335
660,0.88966
670,0.88552
680,0.88126
690,0.87655
700,0.87164
710,0.86605
720,0.86028
730,0.85414
740,0.84736
750,0.84004
760,0.83229
770,0.82395
780,0.81524
790,0.80646
800,0.79789
810,0.79017
820,0.78403
830,0.77990
840,0.77897
850,0.78055
860,0.78502
870,0.79162
880,0.79962
890,0.81492
900,0.82339
910,0.83187
920,0.83982
930,0.84702
940,0.85367
950,0.85979
960,0.86542
970,0.87034
980,0.87494
990,0.87908
1000,0.88295
1010,0.88631
1020,0.88984
1030,0.89285
1040,0.89540
1050,0.89814
1060,0.90062
1070,0.90293
1080,0.90504
1090,0.90702
1100,0.90865
1110,0.91019
1120,0.91193
1130,0.91348
1140,0.91492
1150,0.91662
1160,0.91806
1170,0.91924
1180,0.92018
1190,0.92161
1200,0.92291
1210,0.92380
1220,0.92473
1230,0.92592
1240,0.92704
1250,0.92797
1260,0.92888
1270,0.92998
1280,0.93117
1290,0.93223
1300,0.93292
1310,0.93371
1320,0.93451
1330,0.93521
1340,0.93570
1350,0.93623
1360,0.93778
1370,0.93881
1380,0.93921
1390,0.93949
1400,0.93994
1410,0.94074
1420,0.94147
1430,0.94217
1440,0.94273
1450,0.94303
1460,0.94353
1470,0.94457
1480,0.94577
1490,0.94612
1500,0.94664
1510,0.94710
1520,0.94740
1530,0.94779
1540,0.94836
1550,0.94864
1560,0.94885
1570,0.94932
1580,0.94996
1590,0.95040
1600,0.95075
1610,0.95112
1620,0.95122
1630,0.95192
1640,0.95208
1650,0.95248
1660,0.95304
1670,0.95358
1680,0.95432
1690,0.95492
1700,0.95567
1710,0.95613
1720,0.95648
1730,0.95649
1740,0.95664
1750,0.95725
1760,0.95743
1770,0.95751
1780,0.95769
1790,0.95761
1800,0.95785
1810,0.95781
1820,0.95815
1830,0.95828
1840,0.95886
1850,0.95889
1860,0.95897
1870,0.95984
1880,0.95992
1890,0.96031
1900,0.96028
1910,0.96075
1920,0.96130
1930,0.96185
1940,0.96263
1950,0.96306
1960,0.96312
1970,0.96315
1980,0.96294
1990,0.96311
2000,0.96311
2010,0.96374
2020,0.96391
2030,0.96397
2040,0.96411
2050,0.96421
2060,0.96460
2070,0.96471
2080,0.96539
2090,0.96581
2100,0.96585
2110,0.96544
2120,0.96547
2130,0.96523
2140,0.96537
2150,0.96486
2160,0.96479
2170,0.96525
2180,0.96510
2190,0.96541
2200,0.96515
2210,0.96502
2220,0.96528
2230,0.96443
